Chainage [m],Driving Speed [m/s],Driving Accl [m/s²],GyroRoll [rad/s],GyroYaw [rad/s],GyroPitch [rad/s],AcclLoad [m/s�],AcclVerti 1.9 [m/s²],AcclTrans 1.9 [m/s²],AcclHoris 1.9 [m/s²],AcclVerti 2.0 [m/s²],AcclTrans 2.0 [m/s²],AcclHoris 2.0 [m/s²],Strain Gauge Left [kg],Strain Gauge Right [kg],Temp Road [°C],Temp Air [°C],Doppler 3.080 [m/s],Doppler 1.500 [m/s],Doppler 0.900 [m/s],Doppler 0.600 [m/s],Doppler 0.450 [m/s],Doppler 0.300 [m/s],Doppler 0.215 [m/s],Doppler 0.130 [m/s],Doppler -0.200 [m/s],Doppler -0.300 [m/s],Doppler -0.450 [m/s],DeflVel 1.500 [mm/s],DeflVel 0.900 [mm/s],DeflVel 0.600 [mm/s],DeflVel 0.450 [mm/s],DeflVel 0.300 [mm/s],DeflVel 0.215 [mm/s],DeflVel 0.130 [mm/s],DeflVel -0.200 [mm/s],DeflVel -0.300 [mm/s],DeflVel -0.450 [mm/s],Slope 1.500 [µm/m],Slope 0.900 [µm/m],Slope 0.600 [µm/m],Slope 0.450 [µm/m],Slope 0.300 [µm/m],Slope 0.215 [µm/m],Slope 0.130 [µm/m],Slope -0.200 [µm/m],Slope -0.300 [µm/m],Slope -0.450 [µm/m],DoppValidity 3.080 ,DoppValidity 1.500 ,DoppValidity 0.900 ,DoppValidity 0.600 ,DoppValidity 0.450 ,DoppValidity 0.300 ,DoppValidity 0.215 ,DoppValidity 0.130 ,DoppValidity -0.200 ,DoppValidity -0.300 ,DoppValidity -0.450 ,SCI200 [µm],SCI300 [µm],SCISUB [µm],D-450 [µm],D-300 [µm],D-200 [µm],D0 [µm],D200 [µm],D300 [µm],D450 [µm],D600 [µm],D900 [µm],D1200 [µm],D1500 [µm],Goodness of fit,Latitude [dd.dddd],Longitude [dd.dddd],Height [m],DOP,Satellites
42260.0,22.8055,0.05294,-0.002747,0.020685,0.000106,-0.239566,-0.01802,0.043292,-0.010161,-0.013852,-0.079139,-0.014401,5386.8498,5366.7882,32.49,26.62,-0.036975,-0.041025,-0.047985,-0.050338,-0.042022,-0.041586,-0.043384,-0.038933,-0.048236,-0.044357,-0.041874,0.568177,1.231465,1.583709,1.260977,1.605905,0.930304,0.918242,-0.798605,-0.585203,-1.125048,24.9141,53.9987,69.4442,55.2927,70.4175,40.793,40.2641,-35.0181,-25.6606,-49.3324,0.5065,0.4461,0.465,0.4302,0.4886,0.4571,0.4824,0.4461,0.4622,0.5207,0.5032,7.0,12.0,24.0,-79.0,-86.0,-89.0,-91.0,-84.0,-79.0,-70.0,-60.0,-42.0,-28.0,-18.0,0.98390113,55.665407916,12.305520266,25.67,1.0,8
42270.0,22.8113,-0.08145,-0.002186,0.023046,0.002198,-0.005826,0.162438,0.003541,0.009275,0.134473,-0.050201,0.013468,5463.8465,5437.3705,32.47,26.62,-0.056942,-0.057327,-0.062649,-0.064157,-0.054932,-0.054133,-0.055734,-0.051713,-0.061604,-0.05746,-0.054738,0.936295,1.992863,2.56535,2.83657,3.230892,2.574736,1.952968,-1.04194,-0.773188,-1.390931,41.0452,87.363,112.4596,124.3493,141.6356,112.871,85.614,-45.6765,-33.8949,-60.9755,0.5079,0.4448,0.4668,0.432,0.4917,0.4643,0.4804,0.4393,0.4755,0.5184,0.4969,16.0,28.0,36.0,-156.0,-165.0,-169.0,-169.0,-153.0,-141.0,-121.0,-103.0,-73.0,-52.0,-37.0,0.99274655,55.665390758,12.305364247,25.67,1.0,8
42280.0,22.6915,-0.33842,0.004215,0.023499,-0.005212,0.090269,0.273759,-0.035732,0.308484,0.267338,-0.017517,-0.329563,5397.7781,5420.6151,32.4,26.64,-0.059884,-0.072148,-0.080113,-0.082006,-0.072934,-0.072038,-0.074114,-0.070997,-0.091524,-0.089222,-0.087908,0.789435,3.626072,6.03053,7.308855,8.915739,8.409895,7.540072,-3.684059,-4.495679,-5.392357,34.7899,159.7988,265.7618,322.0969,392.9112,370.619,332.2864,-162.3543,-198.1219,-237.638,0.5073,0.4497,0.4685,0.4345,0.4921,0.4705,0.4704,0.4352,0.4878,0.5157,0.4849,57.0,95.0,52.0,-267.0,-300.0,-319.0,-326.0,-270.0,-232.0,-178.0,-133.0,-71.0,-37.0,-19.0,0.99951418,55.665374337,12.305207569,25.862,1.0,8
42290.0,22.5586,-0.27678,-0.005449,0.021435,0.001944,-0.296234,-0.125647,0.039062,0.236556,-0.148986,-0.081902,-0.215564,5340.6636,5190.3542,32.3,26.67,-0.046296,-0.047063,-0.051253,-0.051252,-0.04077,-0.038543,-0.039082,-0.0346,-0.055773,-0.052714,-0.049742,1.004016,3.290733,5.430852,7.098502,8.96601,9.382558,9.296928,-4.965921,-5.713067,-6.004299,44.507,145.8747,240.744,314.6692,397.4539,415.919,412.1231,-220.1341,-253.2543,-266.1643,0.5051,0.4435,0.466,0.4239,0.481,0.4512,0.4828,0.4461,0.4579,0.5158,0.5019,71.0,112.0,50.0,-257.0,-297.0,-321.0,-333.0,-262.0,-221.0,-168.0,-126.0,-68.0,-36.0,-19.0,0.99982027,55.665358812,12.305050832,25.862,1.0,8
42300.0,22.4673,-0.17626,-0.003249,0.020642,0.002556,-0.249576,-0.022262,0.023988,0.217826,0.055166,0.062524,-0.255342,5358.5126,5292.0828,32.43,26.68,-0.03529,-0.034765,-0.039195,-0.040068,-0.030523,-0.029226,-0.03047,-0.026678,-0.03985,-0.036441,-0.033341,1.328407,2.99693,4.075415,4.751082,5.599263,5.256026,4.44618,-2.050141,-2.495298,-2.739666,59.1263,133.391,181.3935,211.4668,249.2187,233.9415,197.8959,-91.2501,-111.0637,-121.9403,0.5075,0.4442,0.4677,0.4307,0.4864,0.4592,0.4858,0.4455,0.4658,0.5136,0.5044,34.0,58.0,55.0,-232.0,-250.0,-260.0,-264.0,-230.0,-206.0,-171.0,-141.0,-94.0,-62.0,-40.0,0.99961671,55.665344131,12.304893676,26.103,1.0,8
42310.0,22.3917,-0.25731,0.001254,0.017104,-0.000188,-0.026414,0.164006,0.050505,0.156299,0.247537,0.109263,-0.173287,5426.1614,5378.1772,32.4,26.66,-0.06736,-0.071633,-0.077125,-0.078592,-0.069265,-0.068609,-0.069921,-0.06616,-0.081509,-0.078313,-0.076412,0.849926,3.09974,4.406551,5.308375,5.929134,5.748559,5.156162,-2.636868,-3.007853,-4.029969,37.9571,138.4323,196.7935,237.0684,264.791,256.7267,230.2706,-117.7607,-134.3286,-179.9756,0.5079,0.4485,0.471,0.4323,0.4911,0.4658,0.4808,0.4409,0.4806,0.5207,0.5005,39.0,65.0,47.0,-209.0,-233.0,-246.0,-253.0,-214.0,-188.0,-151.0,-117.0,-67.0,-37.0,-20.0,0.99936141,55.665330261,12.304736464,26.103,1.0,8
42320.0,22.202,-0.5409,0.001903,0.017948,-0.000549,-0.118333,0.044353,0.081442,0.587956,-0.029952,-0.15049,-0.554301,5344.6867,5351.2428,32.4,26.64,-0.083009,-0.087842,-0.093867,-0.094828,-0.085681,-0.084894,-0.08674,-0.083334,-0.098501,-0.095216,-0.093009,0.814876,2.686293,4.584566,5.431785,6.238547,5.544264,4.665663,-2.89024,-3.105718,-3.745003,36.7028,120.9932,206.4932,244.6527,280.99,249.7189,210.1458,-130.1791,-139.8845,-168.6785,0.5073,0.4519,0.4681,0.44,0.4975,0.4729,0.4709,0.4316,0.4967,0.5205,0.4889,35.0,62.0,44.0,-203.0,-228.0,-242.0,-248.0,-213.0,-186.0,-147.0,-113.0,-65.0,-37.0,-21.0,0.99895928,55.665317145,12.304578884,26.253,1.0,8
42330.0,21.9846,-0.34734,-0.001165,0.017906,0.000796,-0.188894,0.003798,0.116115,0.371237,0.033994,-0.171645,-0.392714,5336.5699,5336.8009,32.45,26.64,-0.049456,-0.052136,-0.05719,-0.057803,-0.048359,-0.046862,-0.047903,-0.044068,-0.061071,-0.057881,-0.055278,0.766183,2.708723,4.516184,5.537418,6.849445,6.834795,6.311243,-3.604537,-4.017124,-4.434312,34.8509,123.2102,205.4251,251.8774,311.5569,310.8905,287.0759,-163.9576,-182.7246,-201.7011,0.5115,0.4473,0.4741,0.4337,0.4938,0.4675,0.4802,0.4375,0.4829,0.522,0.4987,48.0,79.0,41.0,-201.0,-230.0,-248.0,-261.0,-213.0,-182.0,-139.0,-104.0,-56.0,-29.0,-15.0,0.99977393,55.665304767,12.304421221,26.253,1.0,8
42340.0,21.8796,-0.16952,-0.00119,0.021725,0.001916,-0.182785,0.009076,0.035874,0.202785,0.017683,-0.072312,-0.230855,5382.4639,5320.4059,32.5,26.64,-0.045786,-0.046345,-0.050951,-0.051555,-0.042454,-0.041057,-0.041892,-0.0376,-0.052912,-0.04963,-0.046611,1.048056,2.705129,4.163581,4.707485,5.747505,5.835872,5.692626,-2.937912,-3.35457,-3.512542,47.901,123.6369,190.2949,215.1538,262.6875,266.7263,260.1793,-134.2761,-153.3193,-160.5394,0.512,0.4489,0.4715,0.4325,0.4884,0.4597,0.4896,0.4528,0.4603,0.5165,0.5063,44.0,71.0,48.0,-210.0,-234.0,-249.0,-257.0,-213.0,-186.0,-150.0,-120.0,-73.0,-43.0,-25.0,0.99979758,55.66529307,12.304263206,26.318,1.0,8
42350.0,21.7953,-0.20937,-0.00185,0.028641,0.001827,-0.072073,0.120869,-0.082961,0.193866,0.093833,0.094185,-0.173647,5465.4966,5333.0671,32.59,26.62,-0.039725,-0.040621,-0.045233,-0.046164,-0.037201,-0.036221,-0.037354,-0.033488,-0.046156,-0.042729,-0.040007,0.814305,2.482832,3.629733,4.08162,4.718597,4.512994,3.966735,-2.022888,-2.272598,-2.700614,37.3616,113.9161,166.5376,187.2709,216.4963,207.063,181.9998,-92.8131,-104.2702,-123.9082,0.5155,0.4515,0.4691,0.4346,0.4913,0.4626,0.4879,0.4499,0.4689,0.5207,0.508,31.0,52.0,43.0,-183.0,-201.0,-211.0,-216.0,-185.0,-164.0,-134.0,-107.0,-66.0,-39.0,-22.0,0.99962909,55.665281903,12.304105411,26.318,1.0,8
