Chainage [m],Driving Speed [m/s],Driving Accl [m/s²],GyroRoll [rad/s],GyroYaw [rad/s],GyroPitch [rad/s],AcclLoad [m/s�],AcclVerti 1.9 [m/s²],AcclTrans 1.9 [m/s²],AcclHoris 1.9 [m/s²],AcclVerti 2.0 [m/s²],AcclTrans 2.0 [m/s²],AcclHoris 2.0 [m/s²],Strain Gauge Left [kg],Strain Gauge Right [kg],Temp Road [°C],Temp Air [°C],Doppler 3.080 [m/s],Doppler 1.500 [m/s],Doppler 0.900 [m/s],Doppler 0.600 [m/s],Doppler 0.450 [m/s],Doppler 0.300 [m/s],Doppler 0.215 [m/s],Doppler 0.130 [m/s],Doppler -0.200 [m/s],Doppler -0.300 [m/s],Doppler -0.450 [m/s],DeflVel 1.500 [mm/s],DeflVel 0.900 [mm/s],DeflVel 0.600 [mm/s],DeflVel 0.450 [mm/s],DeflVel 0.300 [mm/s],DeflVel 0.215 [mm/s],DeflVel 0.130 [mm/s],DeflVel -0.200 [mm/s],DeflVel -0.300 [mm/s],DeflVel -0.450 [mm/s],Slope 1.500 [µm/m],Slope 0.900 [µm/m],Slope 0.600 [µm/m],Slope 0.450 [µm/m],Slope 0.300 [µm/m],Slope 0.215 [µm/m],Slope 0.130 [µm/m],Slope -0.200 [µm/m],Slope -0.300 [µm/m],Slope -0.450 [µm/m],DoppValidity 3.080 ,DoppValidity 1.500 ,DoppValidity 0.900 ,DoppValidity 0.600 ,DoppValidity 0.450 ,DoppValidity 0.300 ,DoppValidity 0.215 ,DoppValidity 0.130 ,DoppValidity -0.200 ,DoppValidity -0.300 ,DoppValidity -0.450 ,SCI200 [µm],SCI300 [µm],SCISUB [µm],D-450 [µm],D-300 [µm],D-200 [µm],D0 [µm],D200 [µm],D300 [µm],D450 [µm],D600 [µm],D900 [µm],D1200 [µm],D1500 [µm],Goodness of fit,Latitude [dd.dddd],Longitude [dd.dddd],Height [m],DOP,Satellites
42370.0,21.5882,0.01021,-0.001337,0.026414,-0.004936,-0.003258,0.156079,-0.063833,-0.089664,0.139262,0.073068,0.086435,5528.4709,5386.235,33.73,26.41,-0.057835,-0.069621,-0.079346,-0.083203,-0.075865,-0.076435,-0.078231,-0.074738,-0.085158,-0.081817,-0.08023,0.691529,1.267597,1.501254,1.423085,1.526195,1.221348,0.91746,-0.664602,-0.293318,-0.820778,32.0328,58.7172,69.5406,65.9197,70.6959,56.5749,42.4983,-30.7855,-13.587,-38.0198,0.5198,0.4676,0.4924,0.4738,0.4825,0.4809,0.4837,0.4557,0.4588,0.5166,0.4942,8.0,14.0,28.0,-100.0,-105.0,-108.0,-108.0,-99.0,-93.0,-84.0,-74.0,-55.0,-39.0,-27.0,0.98566026,55.665391199,12.305426592,25.784,1.0,8
42380.0,21.5953,0.04158,0.002142,0.025575,-0.001432,-0.179215,0.043716,-0.053864,-0.05227,0.097821,0.108417,0.017453,5451.2019,5346.343,33.8,26.42,-0.043148,-0.0487,-0.055684,-0.058085,-0.049805,-0.049632,-0.051178,-0.047628,-0.059473,-0.056369,-0.054146,1.392726,2.602573,3.238429,3.572976,3.892092,3.540118,2.994007,-1.167315,-1.384501,-1.802378,64.492,120.5156,149.9597,165.4513,180.2285,163.9298,138.6415,-54.054,-64.1111,-83.4615,0.5165,0.4692,0.4918,0.4718,0.4782,0.4769,0.4824,0.4542,0.4495,0.5186,0.4948,24.0,41.0,54.0,-216.0,-228.0,-234.0,-234.0,-210.0,-193.0,-168.0,-144.0,-103.0,-71.0,-49.0,0.99945529,55.665375016,12.305269795,25.784,1.0,8
42390.0,21.6043,0.00764,-0.001171,0.021347,0.002914,-0.104198,0.088455,0.019934,-0.05423,0.101503,0.04096,0.047978,5530.2003,5351.0347,33.65,26.47,-0.03536,-0.034209,-0.037907,-0.038586,-0.029317,-0.02837,-0.02951,-0.025459,-0.038225,-0.035219,-0.032594,1.206709,3.084696,4.134579,4.801432,5.241558,4.925537,4.508052,-2.006771,-2.758526,-3.426756,55.855,142.7814,191.3774,222.244,242.6161,227.9884,208.6643,-92.8875,-127.684,-158.6143,0.5178,0.47,0.4892,0.4707,0.4822,0.4772,0.4835,0.4583,0.4468,0.5143,0.5003,36.0,60.0,56.0,-230.0,-252.0,-263.0,-265.0,-229.0,-205.0,-171.0,-139.0,-89.0,-54.0,-33.0,0.99974132,55.665360052,12.305112608,25.877,1.0,8
42400.0,21.606,0.02175,-0.005358,0.0194,0.003624,-0.176886,0.011022,0.063278,0.013725,0.00153,-0.123369,-0.005971,5442.037,5341.2554,33.73,26.53,-0.023996,-0.021597,-0.025511,-0.02638,-0.017392,-0.016558,-0.017506,-0.013903,-0.02382,-0.020202,-0.017329,1.32281,2.554435,3.200361,3.478224,3.698044,3.512921,2.587223,-1.313534,-1.524509,-2.052591,61.2241,118.2278,148.1234,160.9839,171.1579,162.5897,119.7454,-60.7947,-70.5594,-95.0008,0.5148,0.4679,0.4913,0.4735,0.4791,0.4749,0.4863,0.4544,0.4437,0.5133,0.496,22.0,38.0,52.0,-204.0,-217.0,-224.0,-225.0,-203.0,-187.0,-162.0,-139.0,-99.0,-68.0,-46.0,0.99883156,55.665346177,12.304955383,25.877,1.0,8
42410.0,21.6281,0.01335,0.000537,0.019333,-0.003089,-0.122222,0.039204,0.063403,-0.035699,-0.001665,-0.14449,0.031801,5456.2427,5372.5957,33.84,26.53,-0.039849,-0.048193,-0.056187,-0.059184,-0.051247,-0.051456,-0.053038,-0.049878,-0.06135,-0.058446,-0.056746,1.231108,2.441035,2.984288,3.213326,3.399827,3.154796,2.35288,-0.876345,-1.133221,-1.828906,56.9215,112.8638,137.9817,148.5715,157.1946,145.8653,108.7879,-40.5187,-52.3957,-84.5614,0.5178,0.4629,0.4902,0.4746,0.4764,0.4705,0.4882,0.4575,0.4444,0.5157,0.4966,20.0,35.0,49.0,-192.0,-203.0,-208.0,-207.0,-187.0,-172.0,-149.0,-127.0,-89.0,-60.0,-40.0,0.99841068,55.665333,12.304797852,26.044,1.0,8
42420.0,21.6312,0.03634,-0.000499,0.0216,0.00289,-0.199112,0.003837,0.015285,-0.013009,0.06145,0.055989,-0.002081,5408.3378,5371.7644,33.89,26.48,-0.020057,-0.018982,-0.023288,-0.024235,-0.015124,-0.014594,-0.015592,-0.011856,-0.022299,-0.018794,-0.016126,1.212299,2.539943,3.345458,3.852427,3.883176,3.714658,2.981538,-1.189031,-1.441525,-2.066057,56.044,117.4203,154.6589,178.0958,179.5173,171.7269,137.8351,-54.9683,-66.641,-95.5128,0.5125,0.4677,0.4878,0.4724,0.4764,0.4748,0.4845,0.4552,0.4423,0.5137,0.499,24.0,42.0,50.0,-203.0,-216.0,-222.0,-222.0,-198.0,-180.0,-154.0,-129.0,-87.0,-57.0,-37.0,0.99929341,55.665320315,12.304640404,26.044,1.0,8
42430.0,21.6538,0.06668,0.004693,0.019601,-0.000177,-0.167164,0.064522,0.055221,0.003472,0.063275,-0.067856,-0.013651,5395.5101,5384.7181,33.81,26.49,-0.034201,-0.038148,-0.04421,-0.045841,-0.037417,-0.036543,-0.037982,-0.034275,-0.047028,-0.044035,-0.041657,1.026886,2.447708,3.492477,3.764712,4.599712,4.251925,3.746556,-1.712949,-2.174667,-2.6318,47.4228,113.0381,161.2868,173.8589,212.4202,196.359,173.0205,-79.106,-100.4287,-121.5397,0.5143,0.4685,0.4906,0.4744,0.4793,0.4758,0.4891,0.4604,0.4518,0.5162,0.4934,30.0,50.0,46.0,-192.0,-209.0,-218.0,-220.0,-190.0,-170.0,-141.0,-115.0,-75.0,-47.0,-29.0,0.99918517,55.665308458,12.304482625,26.166,1.0,8
42440.0,21.6732,0.0279,0.00011,0.020017,0.00134,-0.08497,0.103466,0.054986,-0.021012,0.156315,0.02737,0.008449,5464.6189,5417.0517,33.93,26.53,-0.041777,-0.043113,-0.048285,-0.049596,-0.041069,-0.040171,-0.04138,-0.03761,-0.049419,-0.046352,-0.043492,1.242565,2.65187,3.568106,3.710411,4.344735,4.101436,3.527645,-1.472944,-2.013242,-2.212911,57.3318,122.357,164.6321,171.198,200.4656,189.2398,162.7652,-67.9615,-92.8908,-102.1035,0.5172,0.4632,0.491,0.4717,0.4808,0.479,0.4832,0.4559,0.453,0.5173,0.4946,28.0,47.0,52.0,-211.0,-225.0,-234.0,-236.0,-208.0,-188.0,-160.0,-135.0,-92.0,-61.0,-40.0,0.99948695,55.665297332,12.304324738,26.166,1.0,8
42450.0,21.6939,0.02094,0.000111,0.019044,-0.000832,-0.065729,0.13456,0.102506,-0.025008,0.137828,-0.074183,0.025506,5479.6437,5418.915,33.95,26.55,-0.040277,-0.045022,-0.051767,-0.054155,-0.045764,-0.045588,-0.046961,-0.043232,-0.054694,-0.051389,-0.049253,1.256473,2.395506,2.889626,3.215632,3.456168,3.235632,2.804681,-1.116345,-1.199394,-1.794099,57.9181,110.4228,133.1996,148.2272,159.3149,149.1491,129.284,-51.4588,-55.287,-82.7004,0.5222,0.4703,0.49,0.4779,0.4852,0.4823,0.4927,0.4557,0.4507,0.5163,0.4936,22.0,38.0,49.0,-190.0,-200.0,-206.0,-207.0,-185.0,-170.0,-147.0,-125.0,-88.0,-59.0,-39.0,0.99896557,55.665287021,12.304166749,26.166,1.0,8
42460.0,21.704,0.06421,-0.003846,0.018522,0.001384,-0.254533,-0.059604,0.082525,0.015879,-0.048275,-0.121798,-0.038166,5394.9284,5285.0422,34.08,26.52,-0.013865,-0.014991,-0.020368,-0.02193,-0.013115,-0.012616,-0.013756,-0.009675,-0.021325,-0.01791,-0.015366,1.347162,2.513858,3.163558,3.574526,3.802254,3.625295,3.353016,-1.49044,-1.689503,-2.21301,62.0699,115.8249,145.7595,164.6947,175.1872,167.0339,154.4887,-68.6713,-77.8431,-101.9635,0.5174,0.4707,0.4973,0.4778,0.4801,0.4811,0.4934,0.4596,0.4451,0.5184,0.5022,26.0,43.0,52.0,-200.0,-214.0,-222.0,-224.0,-198.0,-181.0,-156.0,-132.0,-92.0,-61.0,-40.0,0.99934693,55.665277286,12.304008485,26.168,1.0,8
