Chainage [m],Driving Speed [m/s],Driving Accl [m/s²],GyroRoll [rad/s],GyroYaw [rad/s],GyroPitch [rad/s],AcclLoad [m/s�],AcclVerti 1.9 [m/s²],AcclTrans 1.9 [m/s²],AcclHoris 1.9 [m/s²],AcclVerti 2.0 [m/s²],AcclTrans 2.0 [m/s²],AcclHoris 2.0 [m/s²],Strain Gauge Left [kg],Strain Gauge Right [kg],Temp Road [°C],Temp Air [°C],Doppler 3.080 [m/s],Doppler 1.500 [m/s],Doppler 0.900 [m/s],Doppler 0.600 [m/s],Doppler 0.450 [m/s],Doppler 0.300 [m/s],Doppler 0.215 [m/s],Doppler 0.130 [m/s],Doppler -0.200 [m/s],Doppler -0.300 [m/s],Doppler -0.450 [m/s],DeflVel 1.500 [mm/s],DeflVel 0.900 [mm/s],DeflVel 0.600 [mm/s],DeflVel 0.450 [mm/s],DeflVel 0.300 [mm/s],DeflVel 0.215 [mm/s],DeflVel 0.130 [mm/s],DeflVel -0.200 [mm/s],DeflVel -0.300 [mm/s],DeflVel -0.450 [mm/s],Slope 1.500 [µm/m],Slope 0.900 [µm/m],Slope 0.600 [µm/m],Slope 0.450 [µm/m],Slope 0.300 [µm/m],Slope 0.215 [µm/m],Slope 0.130 [µm/m],Slope -0.200 [µm/m],Slope -0.300 [µm/m],Slope -0.450 [µm/m],DoppValidity 3.080 ,DoppValidity 1.500 ,DoppValidity 0.900 ,DoppValidity 0.600 ,DoppValidity 0.450 ,DoppValidity 0.300 ,DoppValidity 0.215 ,DoppValidity 0.130 ,DoppValidity -0.200 ,DoppValidity -0.300 ,DoppValidity -0.450 ,SCI200 [µm],SCI300 [µm],SCISUB [µm],D-450 [µm],D-300 [µm],D-200 [µm],D0 [µm],D200 [µm],D300 [µm],D450 [µm],D600 [µm],D900 [µm],D1200 [µm],D1500 [µm],Goodness of fit,Latitude [dd.dddd],Longitude [dd.dddd],Height [m],DOP,Satellites
3580.0,21.9988,0.06379,-0.001059,0.008072,0.000125,-0.118126,0.080964,0.059261,0.267679,0.077016,-0.092629,-0.280068,5417.9618,5353.7077,35.09,25.51,-0.035132,-0.038921,-0.045369,-0.047174,-0.03858,-0.038211,-0.039569,-0.035497,-0.046083,-0.043071,-0.040565,0.665329,1.51811,2.293321,2.538635,2.804955,2.520009,2.277829,-1.027299,-1.562632,-1.990669,30.2439,69.0087,104.2475,115.3987,127.5048,114.552,103.5433,-46.6979,-71.0326,-90.4898,0.5142,0.4813,0.5093,0.4828,0.4951,0.4726,0.4951,0.4737,0.4485,0.5266,0.5105,18.0,30.0,28.0,-118.0,-130.0,-136.0,-137.0,-119.0,-107.0,-88.0,-72.0,-46.0,-29.0,-18.0,0.99960044,55.666840207,12.104105124,28.792,1.2,8
3590.0,22.0496,0.14689,-0.00489,0.012544,0.001349,-0.127674,0.070309,-0.005087,0.143193,0.094224,0.084516,-0.150571,5422.8244,5330.1581,34.96,25.5,-0.026836,-0.028705,-0.034395,-0.035802,-0.026983,-0.026401,-0.027401,-0.023199,-0.034192,-0.030938,-0.028076,0.623539,1.505348,2.313641,2.579209,2.87292,2.844093,2.617213,-1.483753,-1.90771,-2.170122,28.2789,68.2709,104.9288,116.9729,130.2934,128.986,118.6965,-67.2916,-86.519,-98.4199,0.5195,0.4825,0.5104,0.4792,0.493,0.4734,0.4934,0.4714,0.45,0.5233,0.5109,20.0,33.0,27.0,-111.0,-125.0,-133.0,-136.0,-116.0,-103.0,-84.0,-67.0,-41.0,-24.0,-14.0,0.99987155,55.66687955,12.103962019,28.143,1.2,8
3600.0,22.1246,0.19845,-0.001078,0.017304,0.001462,-0.224896,-0.008141,-0.187782,0.211602,0.042421,0.218054,-0.229517,5395.9547,5277.6224,34.95,25.5,-0.019514,-0.021202,-0.026767,-0.028421,-0.0196,-0.019158,-0.020393,-0.016285,-0.025941,-0.022922,-0.020164,0.668143,1.638251,2.175873,2.400791,2.537955,2.269221,1.925216,-0.847556,-1.529257,-1.920768,30.199,74.0465,98.3462,108.5121,114.7117,102.5653,87.0169,-38.3082,-69.1201,-86.8158,0.5128,0.4771,0.5107,0.4821,0.4922,0.4692,0.4904,0.4705,0.4404,0.5221,0.509,15.0,26.0,30.0,-117.0,-128.0,-134.0,-134.0,-119.0,-108.0,-91.0,-75.0,-50.0,-32.0,-20.0,0.99976073,55.666919199,12.103819168,28.143,1.2,8
3610.0,22.1876,-0.02036,0.007639,0.022307,-0.003195,-0.0214,0.155816,-0.264396,0.34966,0.156825,0.333063,-0.347452,5481.3575,5366.3856,35.06,25.53,-0.050684,-0.059969,-0.068146,-0.070377,-0.061431,-0.06087,-0.061911,-0.05763,-0.074819,-0.071948,-0.069515,0.474188,1.658318,3.03036,4.056735,5.014746,5.339967,5.553197,-3.189668,-3.561317,-3.585745,21.3717,74.7407,136.5788,182.8377,226.0154,240.6731,250.2834,-143.7588,-160.5091,-161.6101,0.5163,0.478,0.5126,0.4794,0.4958,0.4718,0.4899,0.4694,0.4538,0.5255,0.5046,43.0,67.0,24.0,-132.0,-157.0,-172.0,-183.0,-140.0,-116.0,-86.0,-62.0,-31.0,-15.0,-7.0,0.99987705,55.666959337,12.103676669,27.506,1.2,8
3620.0,22.1291,-0.17348,-0.007674,0.02721,0.000213,-0.125977,0.094154,-0.343132,0.524286,0.085867,0.304307,-0.517482,5541.6061,5205.4066,34.99,25.56,-0.036983,-0.040609,-0.045996,-0.047003,-0.037684,-0.036641,-0.037685,-0.033573,-0.049522,-0.047111,-0.044716,0.750051,2.679305,4.255552,5.17069,6.103308,6.135701,5.904075,-2.733628,-3.894239,-4.455678,33.8944,121.0763,192.3061,233.6607,275.8052,277.269,266.802,-123.5312,-175.9785,-201.3497,0.517,0.4781,0.5092,0.482,0.4922,0.4707,0.4923,0.4698,0.4437,0.5232,0.5094,47.0,75.0,42.0,-204.0,-233.0,-249.0,-250.0,-203.0,-176.0,-137.0,-105.0,-59.0,-32.0,-17.0,0.99991571,55.667000062,12.103534842,27.506,1.2,8
3630.0,22.0375,-0.20554,-0.003366,0.031646,-0.00258,-0.112774,0.039303,-0.492016,0.566756,-0.055994,0.427665,-0.544898,5591.1246,5189.1583,35.01,25.55,-0.045757,-0.053687,-0.061024,-0.063162,-0.054624,-0.054453,-0.055959,-0.052079,-0.06649,-0.064349,-0.062344,0.85804,2.49055,3.765762,4.356495,4.83802,4.642815,4.436166,-1.76673,-2.900844,-3.419319,38.9354,113.014,170.8795,197.6853,219.5355,210.6777,201.3005,-80.1691,-131.632,-155.1589,0.5158,0.4793,0.5058,0.4795,0.4892,0.4732,0.492,0.4733,0.4489,0.5232,0.5104,35.0,57.0,42.0,-189.0,-210.0,-221.0,-220.0,-185.0,-163.0,-132.0,-105.0,-62.0,-35.0,-20.0,0.99980282,55.667041654,12.103393778,26.824,1.2,8
3640.0,21.9388,-0.22556,0.015576,0.033967,0.001883,-0.154029,0.055152,-0.575162,0.549293,0.143974,0.623506,-0.591637,5423.499,5312.1424,35.1,25.53,-0.058892,-0.059793,-0.0646,-0.065043,-0.055298,-0.053711,-0.054317,-0.049402,-0.06699,-0.063884,-0.06088,0.803598,2.233488,3.845892,5.00739,6.235242,6.554557,7.02163,-3.864932,-4.465096,-4.641266,36.6291,101.8055,175.3012,228.2439,284.2111,298.766,320.0558,-176.169,-203.5254,-211.5554,0.5148,0.4804,0.512,0.4816,0.4958,0.477,0.4905,0.4713,0.4591,0.5247,0.5069,56.0,85.0,35.0,-182.0,-214.0,-233.0,-242.0,-186.0,-157.0,-119.0,-88.0,-46.0,-23.0,-12.0,0.99967454,55.667084155,12.103253581,26.824,1.2,8
3650.0,21.8394,-0.24494,0.007085,0.025056,-0.000607,-0.06996,0.161875,-0.36022,0.564208,0.204006,0.451003,-0.571912,5466.6309,5358.5289,35.08,25.52,-0.056844,-0.061871,-0.06836,-0.070023,-0.061548,-0.061123,-0.06266,-0.058815,-0.070479,-0.06786,-0.065537,0.567159,1.757917,2.880357,3.1814,3.619654,3.214773,2.842768,-1.332045,-2.154429,-2.621912,25.9695,80.4929,131.888,145.6724,165.7394,147.2004,130.1668,-60.9927,-98.6486,-120.0541,0.5131,0.4767,0.5073,0.4824,0.4965,0.4763,0.4888,0.4672,0.4562,0.5241,0.5042,22.0,38.0,30.0,-132.0,-149.0,-157.0,-158.0,-136.0,-120.0,-97.0,-76.0,-45.0,-26.0,-15.0,0.99952033,55.667127856,12.103114549,26.824,1.2,8
3660.0,21.7219,-0.24596,0.000941,0.020563,0.000738,-0.147597,0.060769,-0.185198,0.606208,0.091977,0.253915,-0.621041,5421.1807,5293.1904,35.17,25.5,-0.042656,-0.045178,-0.050818,-0.051912,-0.043133,-0.042667,-0.043842,-0.040107,-0.052035,-0.049178,-0.046724,0.905606,2.106334,3.382541,3.831569,4.111052,3.948063,3.375029,-1.543652,-2.241285,-2.763473,41.6909,96.9681,155.7201,176.3917,189.2581,181.7546,155.3742,-71.0642,-103.1807,-127.2204,0.5162,0.4799,0.5112,0.4813,0.4965,0.4757,0.4893,0.4664,0.4586,0.5229,0.5027,27.0,45.0,39.0,-168.0,-186.0,-195.0,-196.0,-170.0,-151.0,-123.0,-98.0,-60.0,-36.0,-21.0,0.9997958,55.667172925,12.102976928,26.16,1.2,8
3670.0,21.6052,-0.27098,0.00661,0.018558,-0.003243,-0.108159,0.079897,-0.176807,0.648001,0.08882,0.177041,-0.656016,5367.1449,5374.9921,35.13,25.49,-0.042788,-0.05136,-0.059194,-0.061466,-0.053229,-0.05302,-0.054522,-0.050933,-0.065684,-0.063322,-0.06164,1.111614,2.477266,3.760217,4.310991,4.930328,4.77453,4.416889,-2.048391,-2.824387,-3.506388,51.4512,114.6606,174.0422,199.5348,228.2009,220.9898,204.4363,-94.81,-130.7271,-162.2936,0.5118,0.4837,0.5086,0.4814,0.496,0.4717,0.4896,0.4713,0.4584,0.5236,0.5048,35.0,58.0,47.0,-202.0,-224.0,-236.0,-237.0,-201.0,-179.0,-147.0,-119.0,-75.0,-46.0,-28.0,0.99970009,55.66721881,12.102840103,26.16,1.2,8
3680.0,21.4047,-0.68636,0.005375,0.015895,-0.002272,-0.06859,0.159513,0.015392,1.022736,0.151325,-0.012932,-1.009122,5381.5658,5380.0529,35.19,25.48,-0.064642,-0.072248,-0.07929,-0.080972,-0.072814,-0.072517,-0.074161,-0.070596,-0.084566,-0.081967,-0.08024,0.510403,2.036383,3.600503,4.004167,4.570957,4.178951,3.75414,-2.318249,-2.922794,-3.679871,23.8454,95.1373,168.2111,187.0697,213.5495,195.2354,175.3888,-108.3057,-136.5493,-171.919,0.5122,0.4887,0.5123,0.488,0.5062,0.4847,0.4849,0.4591,0.4788,0.531,0.4995,30.0,50.0,32.0,-146.0,-170.0,-182.0,-189.0,-160.0,-139.0,-109.0,-82.0,-43.0,-22.0,-11.0,0.99950478,55.66726548,12.102704115,25.485,1.2,8
3690.0,20.9713,-1.05419,-0.010758,0.017899,-0.002133,-0.071039,0.12301,-0.013007,1.37516,0.121438,0.026247,-1.373803,5483.8095,5265.75,35.2,25.47,-0.035233,-0.042645,-0.049381,-0.050952,-0.042831,-0.042615,-0.044171,-0.040583,-0.054677,-0.052382,-0.050393,0.401551,2.018348,3.602665,4.114263,4.578322,4.244365,3.916952,-2.46889,-3.322984,-3.78327,19.1476,96.2431,171.7898,196.1849,218.3132,202.3888,186.7764,-117.7268,-158.4535,-180.4018,0.5154,0.4862,0.5129,0.4916,0.5073,0.4868,0.4835,0.4598,0.4806,0.5294,0.502,32.0,53.0,32.0,-147.0,-173.0,-187.0,-194.0,-161.0,-140.0,-109.0,-81.0,-42.0,-21.0,-10.0,0.99975941,55.667312776,12.102568827,25.485,1.2,8
3700.0,20.4688,-0.98188,-0.003868,0.023276,0.001623,-0.103697,0.068292,-0.197124,1.30384,0.070894,0.247141,-1.297693,5427.4047,5305.4712,35.11,25.46,-0.031598,-0.032539,-0.03725,-0.037981,-0.02965,-0.028527,-0.029489,-0.025716,-0.038108,-0.03528,-0.032875,0.815436,2.019172,3.249526,3.594376,4.400134,4.314474,3.950469,-2.156581,-2.777125,-3.321118,39.838,98.6464,158.7551,175.6027,214.9679,210.783,192.9996,-105.3595,-135.6761,-162.2527,0.5154,0.4829,0.5138,0.4879,0.4978,0.484,0.4901,0.4683,0.4668,0.5298,0.5102,34.0,55.0,39.0,-169.0,-192.0,-204.0,-207.0,-174.0,-153.0,-123.0,-98.0,-60.0,-35.0,-21.0,0.99950196,55.667360471,12.102434013,24.84,1.2,8
3710.0,20.0288,-0.80284,0.004119,0.026557,0.000384,-0.138158,0.073475,-0.251492,1.157609,0.112857,0.313472,-1.173748,5366.5613,5349.4392,34.96,25.47,-0.027945,-0.030896,-0.036212,-0.037489,-0.029401,-0.029072,-0.030113,-0.026667,-0.037841,-0.035111,-0.032851,0.660051,1.833323,2.827507,3.276228,3.472347,3.386683,2.883267,-1.740767,-2.26505,-2.712843,32.9551,91.5344,141.1721,163.5759,173.3678,169.0908,143.9561,-86.9132,-113.0897,-135.4472,0.5216,0.4853,0.516,0.4829,0.4971,0.4806,0.4962,0.4711,0.4566,0.5264,0.5119,25.0,42.0,34.0,-141.0,-160.0,-170.0,-175.0,-151.0,-133.0,-108.0,-85.0,-50.0,-28.0,-16.0,0.99992919,55.6674088,12.102299978,24.84,1.2,8
3720.0,19.6442,-0.74202,-0.000168,0.027899,0.000601,-0.103679,0.08968,-0.313486,1.066637,0.095795,0.342357,-1.072221,5461.3975,5288.8603,34.93,25.49,-0.024629,-0.027107,-0.032396,-0.033742,-0.025815,-0.025458,-0.026658,-0.022748,-0.033451,-0.030958,-0.028216,0.694655,1.63363,2.446173,2.846999,3.040025,2.757778,2.773814,-1.58378,-2.305679,-2.25454,35.3619,83.1611,124.5242,144.9285,154.7547,140.3867,141.203,-80.6235,-117.3722,-114.769,0.5167,0.4843,0.514,0.4803,0.4934,0.4733,0.4955,0.4735,0.446,0.5274,0.5122,24.0,39.0,33.0,-131.0,-148.0,-158.0,-163.0,-139.0,-124.0,-102.0,-82.0,-50.0,-30.0,-17.0,0.99863793,55.667458012,12.102167001,24.272,1.2,8
